bod      X         Y        H
 14  1012.742   704.901  149.335
 54   240.188   411.934  196.697
 48   641.788   176.302  174.846
 35 -1146.001   676.064  198.757
 50   168.164  -106.947  176.339
  9  -533.215    36.878  190.070
 53   -77.210   504.231  175.719
 36   951.219   724.046  154.419
  3  -301.625  -708.980  187.720
 44     3.798   262.589  183.909
 49   835.492  1085.299  156.952
 29  1088.810  -208.717  171.792
 16   988.524   521.765  182.292
 23   946.977   151.954  178.343
 18  -906.858   655.226  146.549
 32   624.477   628.898  164.091
 10  -973.317    23.684  164.517
  5  -165.239  -180.782  141.092
 42  -509.112  -209.174  146.136
 25    73.013   284.428  191.901
 28   757.147  -251.215  150.915
  7  -259.543   420.207  191.845
 17   974.646  -326.114  190.450
 51   720.191  -400.619  168.579
 12  -695.932  -594.444  199.258
 38 -1078.039   890.437  195.823
 34  -248.263  -583.662  145.227
 46  1333.660   368.913  151.521
 26  -437.399   323.005  168.000
 39  -921.227   448.773  178.801
 15  -272.283  -501.659  192.038
 19  -278.857  -282.936  170.120
 45 -1062.869   942.332  175.007
 30  1111.328   425.092  184.447
 27   -15.092  1050.435  165.413
 13   805.264   -39.656  171.681
 33  -773.192  -396.999  168.526
 47  1539.056   405.264  157.777
 20  -468.904   139.021  165.692
 24  -515.986  -119.731  179.404
 11  -355.826   628.113  151.132
 43  1402.654   463.641  163.642
  4 -1053.056  1182.717  165.014
 22  1312.646   866.826  198.739
 52  -183.765  -603.800  168.770
 31   -70.858   981.278  157.436
 37    82.059  -242.047  145.049
 41   504.650  1109.787  189.133
 21  -112.482   915.029  182.606
  6  -125.147  -287.057  141.675
  8  1293.932    93.966  138.949
 40  1479.388   443.341  162.814
